event_id,matched,source_video,video_sec,video_time,clip_start_sec,clip_start,clip_end_sec,clip_end,match_delta_clock_sec,quarter,clock_remaining,quarter_elapsed_sec,quarter_elapsed,categories,score,description
"1","no","media/source/1Q.mov","","","","","","","","Q1","09:44","16","00:16","score","2 - 0","22 Jun Seok Yeo | +2 | 2pt jump shot made"
"2","no","media/source/1Q.mov","","","","","","","","Q1","09:15","45","00:45","score","4 - 0","2 Junyong Choi | +2 | 2pt turnaround jump shot made"
"3","yes","media/source/1Q.mov","2","00:02","0","00:00","9","00:09","0","Q1","08:51","69","01:09","score","4 - 1","34 Brandon Gilbeck | +1 | 1st of 2 free throws made"
"4","yes","media/source/1Q.mov","27","00:27","22","00:22","34","00:34","0","Q1","08:49","71","01:11","defensive_rebound","4 - 1","22 Jun Seok Yeo defensive rebound"
"5","yes","media/source/1Q.mov","43","00:43","38","00:38","50","00:50","0","Q1","08:33","87","01:27","defensive_rebound","4 - 1","34 Brandon Gilbeck defensive rebound"
"6","yes","media/source/1Q.mov","56","00:56","51","00:51","63","01:03","0","Q1","08:20","100","01:40","defensive_rebound","4 - 1","31 Jaeseok Jang defensive rebound"
"7","yes","media/source/1Q.mov","66","01:06","61","01:01","73","01:13","0","Q1","08:10","110","01:50","defensive_rebound","4 - 1","34 Brandon Gilbeck defensive rebound"
"8","yes","media/source/1Q.mov","109","01:49","104","01:44","116","01:56","0","Q1","07:51","129","02:09","score","4 - 4","10 Long-Mao Hu | +3 | 3pt jump shot made"
"9","yes","media/source/1Q.mov","125","02:05","120","02:00","132","02:12","0","Q1","07:35","145","02:25","defensive_rebound","4 - 4","9 Ying-Chun Chen defensive rebound"
"10","yes","media/source/1Q.mov","131","02:11","126","02:06","138","02:18","0","Q1","07:29","151","02:31","defensive_rebound","4 - 4","31 Jaeseok Jang defensive rebound"
"11","yes","media/source/1Q.mov","146","02:26","141","02:21","153","02:33","0","Q1","07:14","166","02:46","score","5 - 4","31 Jaeseok Jang | +1 | 2nd of 2 free throws made"
"12","yes","media/source/1Q.mov","233","03:53","228","03:48","240","04:00","0","Q1","06:47","193","03:13","score","5 - 6","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, jump shot made"
"13","yes","media/source/1Q.mov","252","04:12","247","04:07","259","04:19","0","Q1","06:28","212","03:32","defensive_rebound","5 - 6","34 Brandon Gilbeck defensive rebound"
"14","yes","media/source/1Q.mov","272","04:32","267","04:27","279","04:39","0","Q1","06:08","232","03:52","score","5 - 9","9 Ying-Chun Chen | +3 | 3pt jump shot made"
"15","yes","media/source/1Q.mov","320","05:20","315","05:15","327","05:27","0","Q1","05:45","255","04:15","score","7 - 9","22 Jun Seok Yeo | +2 | 2pt fadeaway jump shot made"
"16","yes","media/source/1Q.mov","359","05:59","354","05:54","366","06:06","0","Q1","05:06","294","04:54","score","10 - 9","6 Junghyun Lee | +3 | 3pt jump shot made"
"17","yes","media/source/1Q.mov","388","06:28","383","06:23","395","06:35","0","Q1","04:37","323","05:23","defensive_rebound","10 - 9","team defensive rebound"
"18","yes","media/source/1Q.mov","409","06:49","404","06:44","416","06:56","0","Q1","04:28","332","05:32","score","12 - 9","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, driving layup made"
"19","yes","media/source/1Q.mov","552","09:12","547","09:07","559","09:19","0","Q1","03:53","367","06:07","defensive_rebound","12 - 9","11 Woosuk Lee defensive rebound"
"20","yes","media/source/1Q.mov","570","09:30","565","09:25","577","09:37","0","Q1","03:35","385","06:25","defensive_rebound","12 - 9","39 Chun Hsiang Lu defensive rebound"
"21","yes","media/source/1Q.mov","586","09:46","581","09:41","593","09:53","1","Q1","03:20","400","06:40","score","12 - 11","0 Benson Lin | +2 | 2pt pullup jump shot made"
"22","yes","media/source/1Q.mov","603","10:03","598","09:58","610","10:10","0","Q1","03:02","418","06:58","score","15 - 11","2 Junyong Choi | +3 | 3pt jump shot made"
"23","yes","media/source/1Q.mov","632","10:32","627","10:27","639","10:39","0","Q1","02:33","447","07:27","score","15 - 12","34 Brandon Gilbeck | +1 | 2nd of 2 free throws made"
"24","yes","media/source/1Q.mov","715","11:55","710","11:50","722","12:02","0","Q1","02:20","460","07:40","score","17 - 12","11 Woosuk Lee | +1 | 2nd of 2 free throws made"
"25","yes","media/source/1Q.mov","715","11:55","710","11:50","722","12:02","0","Q1","02:20","460","07:40","score","16 - 12","11 Woosuk Lee | +1 | 1st of 2 free throws made"
"26","yes","media/source/1Q.mov","791","13:11","786","13:06","798","13:18","0","Q1","02:01","479","07:59","score","17 - 15","2 Riven Ma | +3 | 3pt pullup jump shot made"
"27","yes","media/source/1Q.mov","810","13:30","805","13:25","817","13:37","0","Q1","01:42","498","08:18","score","19 - 15","31 Jaeseok Jang | +2 | 2pt floating jump shot made"
"28","yes","media/source/1Q.mov","870","14:30","865","14:25","877","14:37","0","Q1","01:13","527","08:47","defensive_rebound","19 - 15","12 Jeonghyeon Moon defensive rebound"
"29","no","media/source/1Q.mov","","","","","","","","Q1","00:47","553","09:13","score","22 - 15","7 Kisang Yu | +3 | 3pt jump shot made"
"30","no","media/source/1Q.mov","","","","","","","","Q1","00:32","568","09:28","score","22 - 17","0 Benson Lin | +2 | 2PtsFG under the basket, driving layup made"
"31","no","media/source/1Q.mov","","","","","","","","Q1","00:06","594","09:54","score","25 - 17","5 Junhyeong Byeon | +3 | 3pt jump shot from center made"
"32","yes","media/source/2Q.mov","34","00:34","29","00:29","41","00:41","0","Q2","09:45","15","00:15","score","27 - 17","31 Jaeseok Jang | +2 | 2PtsFG under the basket, hook shot made"
"33","yes","media/source/2Q.mov","62","01:02","57","00:57","69","01:09","0","Q2","09:17","43","00:43","defensive_rebound","27 - 17","31 Jaeseok Jang defensive rebound"
"34","yes","media/source/2Q.mov","74","01:14","69","01:09","81","01:21","0","Q2","09:08","52","00:52","foul_possession_convert","27 - 17","12 Jeonghyeon Moon Offensive foul"
"35","yes","media/source/2Q.mov","122","02:02","117","01:57","129","02:09","0","Q2","08:49","71","01:11","score","30 - 17","11 Woosuk Lee | +3 | 3pt jump shot made"
"36","yes","media/source/2Q.mov","170","02:50","165","02:45","177","02:57","0","Q2","08:23","97","01:37","score","30 - 19","9 Ying-Chun Chen | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made"
"37","yes","media/source/2Q.mov","294","04:54","289","04:49","301","05:01","1","Q2","08:05","115","01:55","defensive_rebound","30 - 19","1 Bachir Gadiaga defensive rebound"
"38","yes","media/source/2Q.mov","317","05:17","312","05:12","324","05:24","0","Q2","07:43","137","02:17","defensive_rebound","30 - 19","team defensive rebound"
"39","yes","media/source/2Q.mov","362","06:02","357","05:57","369","06:09","0","Q2","07:16","164","02:44","defensive_rebound","30 - 19","39 Chun Hsiang Lu defensive rebound"
"40","yes","media/source/2Q.mov","411","06:51","406","06:46","418","06:58","0","Q2","06:56","184","03:04","defensive_rebound","30 - 19","11 Woosuk Lee defensive rebound"
"41","yes","media/source/2Q.mov","419","06:59","414","06:54","426","07:06","0","Q2","06:48","192","03:12","score","32 - 19","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made"
"42","yes","media/source/2Q.mov","506","08:26","501","08:21","513","08:33","0","Q2","05:55","245","04:05","defensive_rebound","32 - 19","62 Kuan-Chuan Chen defensive rebound"
"43","yes","media/source/2Q.mov","571","09:31","566","09:26","578","09:38","0","Q2","05:38","262","04:22","foul_possession_convert","32 - 19","62 Kuan-Chuan Chen Offensive foul"
"44","yes","media/source/2Q.mov","620","10:20","615","10:15","627","10:27","0","Q2","05:15","285","04:45","score","32 - 21","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, fast break, driving layup made"
"45","yes","media/source/2Q.mov","620","10:20","615","10:15","627","10:27","0","Q2","05:15","285","04:45","defensive_rebound","32 - 19","1 Bachir Gadiaga defensive rebound"
"46","yes","media/source/2Q.mov","634","10:34","629","10:29","641","10:41","0","Q2","05:03","297","04:57","score","32 - 23","0 Benson Lin | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made"
"47","yes","media/source/2Q.mov","736","12:16","731","12:11","743","12:23","0","Q2","04:50","310","05:10","defensive_rebound","32 - 23","9 Ying-Chun Chen defensive rebound"
"48","yes","media/source/2Q.mov","753","12:33","748","12:28","760","12:40","0","Q2","04:33","327","05:27","score","32 - 25","9 Ying-Chun Chen | +1 | 2nd of 2 free throws made"
"49","yes","media/source/2Q.mov","753","12:33","748","12:28","760","12:40","0","Q2","04:33","327","05:27","score","32 - 24","9 Ying-Chun Chen | +1 | 1st of 2 free throws made"
"50","yes","media/source/2Q.mov","835","13:55","830","13:50","842","14:02","0","Q2","04:07","353","05:53","score","34 - 25","2 Junyong Choi | +2 | 2pt jump shot made"
"51","yes","media/source/2Q.mov","843","14:03","838","13:58","850","14:10","0","Q2","03:59","361","06:01","defensive_rebound","34 - 26","22 Jun Seok Yeo defensive rebound"
"52","yes","media/source/2Q.mov","843","14:03","838","13:58","850","14:10","0","Q2","03:59","361","06:01","score","34 - 26","9 Ying-Chun Chen | +1 | 1st of 2 free throws made"
"53","yes","media/source/2Q.mov","904","15:04","899","14:59","911","15:11","0","Q2","03:44","376","06:16","score","36 - 26","6 Junghyun Lee | +2 | 2PtsFG under the basket, jump shot made"
"54","yes","media/source/2Q.mov","925","15:25","920","15:20","932","15:32","0","Q2","03:22","398","06:38","defensive_rebound","36 - 26","22 Jun Seok Yeo defensive rebound"
"55","yes","media/source/2Q.mov","954","15:54","949","15:49","961","16:01","0","Q2","02:54","426","07:06","score","37 - 26","6 Junghyun Lee | +1 | 2nd of 2 free throws made"
"56","yes","media/source/2Q.mov","1087","18:07","1082","18:02","1094","18:14","0","Q2","02:13","467","07:47","defensive_rebound","37 - 26","11 Woosuk Lee defensive rebound"
"57","yes","media/source/2Q.mov","1144","19:04","1139","18:59","1151","19:11","0","Q2","01:42","498","08:18","score","39 - 26","11 Woosuk Lee | +2 | 2PtsFG inside right, jump shot made"
"58","yes","media/source/2Q.mov","1162","19:22","1157","19:17","1169","19:29","0","Q2","01:24","516","08:36","score","39 - 28","0 Benson Lin | +2 | 2pt jump shot made"
"59","yes","media/source/2Q.mov","1176","19:36","1171","19:31","1183","19:43","0","Q2","01:10","530","08:50","defensive_rebound","39 - 28","34 Brandon Gilbeck defensive rebound"
"60","no","media/source/2Q.mov","","","","","","","","Q2","00:53","547","09:07","defensive_rebound","39 - 28","22 Jun Seok Yeo defensive rebound"
"61","no","media/source/2Q.mov","","","","","","","","Q2","00:32","568","09:28","defensive_rebound","39 - 28","39 Chun Hsiang Lu defensive rebound"
"62","no","media/source/2Q.mov","","","","","","","","Q2","00:11","589","09:49","score","39 - 30","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"63","no","media/source/2Q.mov","","","","","","","","Q2","00:00","600","10:00","score","41 - 30","31 Jaeseok Jang | +2 | 2PtsFG under the basket made"
"64","yes","media/source/3Q.mov","19","00:19","14","00:14","26","00:26","0","Q3","09:48","12","00:12","defensive_rebound","41 - 30","31 Jaeseok Jang defensive rebound"
"65","yes","media/source/3Q.mov","75","01:15","70","01:10","82","01:22","0","Q3","09:18","42","00:42","defensive_rebound","41 - 30","0 Benson Lin defensive rebound"
"66","yes","media/source/3Q.mov","83","01:23","78","01:18","90","01:30","0","Q3","09:10","50","00:50","defensive_rebound","41 - 30","31 Jaeseok Jang defensive rebound"
"67","yes","media/source/3Q.mov","90","01:30","85","01:25","97","01:37","0","Q3","09:03","57","00:57","score","43 - 30","6 Junghyun Lee | +2 | 2PtsFG under the basket, driving layup made"
"68","yes","media/source/3Q.mov","114","01:54","109","01:49","121","02:01","0","Q3","08:39","81","01:21","score","43 - 32","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"69","yes","media/source/3Q.mov","119","01:59","114","01:54","126","02:06","0","Q3","08:34","86","01:26","score","45 - 32","31 Jaeseok Jang | +2 | 2PtsFG under the basket, fast break, layup made"
"70","yes","media/source/3Q.mov","167","02:47","162","02:42","174","02:54","1","Q3","08:07","113","01:53","score","47 - 32","33 Seounghyun Lee | +2 | 2PtsFG inside right, points after turnover, jump shot made"
"71","yes","media/source/3Q.mov","226","03:46","221","03:41","233","03:53","0","Q3","07:39","141","02:21","score","47 - 34","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, alley oop dunk made"
"72","yes","media/source/3Q.mov","272","04:32","267","04:27","279","04:39","0","Q3","07:24","156","02:36","score","49 - 34","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made"
"73","yes","media/source/3Q.mov","283","04:43","278","04:38","290","04:50","0","Q3","07:13","167","02:47","score","49 - 36","9 Ying-Chun Chen | +2 | 2pt floating jump shot made"
"74","yes","media/source/3Q.mov","323","05:23","318","05:18","330","05:30","0","Q3","06:53","187","03:07","defensive_rebound","49 - 36","10 Long-Mao Hu defensive rebound"
"75","yes","media/source/3Q.mov","332","05:32","327","05:27","339","05:39","0","Q3","06:44","196","03:16","defensive_rebound","49 - 36","33 Seounghyun Lee defensive rebound"
"76","yes","media/source/3Q.mov","381","06:21","376","06:16","388","06:28","0","Q3","06:11","229","03:49","score","51 - 36","7 Kisang Yu | +2 | 2pt pullup jump shot made"
"77","yes","media/source/3Q.mov","404","06:44","399","06:39","411","06:51","0","Q3","05:48","252","04:12","defensive_rebound","51 - 36","2 Junyong Choi defensive rebound"
"78","yes","media/source/3Q.mov","416","06:56","411","06:51","423","07:03","0","Q3","05:36","264","04:24","score","52 - 36","2 Junyong Choi | +1 | 2nd of 2 free throws made"
"79","yes","media/source/3Q.mov","502","08:22","497","08:17","509","08:29","0","Q3","05:23","277","04:37","defensive_rebound","52 - 36","5 Junhyeong Byeon defensive rebound"
"80","yes","media/source/3Q.mov","515","08:35","510","08:30","522","08:42","0","Q3","05:10","290","04:50","score","54 - 36","36 Daniel Edi | +2 | 2PtsFG under the basket, layup made"
"81","yes","media/source/3Q.mov","535","08:55","530","08:50","542","09:02","0","Q3","04:50","310","05:10","score","54 - 38","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"82","yes","media/source/3Q.mov","547","09:07","542","09:02","554","09:14","0","Q3","04:38","322","05:22","score","54 - 40","2 Riven Ma | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, driving layup made"
"83","yes","media/source/3Q.mov","665","11:05","660","11:00","672","11:12","0","Q3","04:23","337","05:37","score","56 - 40","7 Kisang Yu | +1 | 2nd of 2 free throws made"
"84","yes","media/source/3Q.mov","665","11:05","660","11:00","672","11:12","0","Q3","04:23","337","05:37","score","55 - 40","7 Kisang Yu | +1 | 1st of 2 free throws made"
"85","yes","media/source/3Q.mov","731","12:11","726","12:06","738","12:18","0","Q3","04:11","349","05:49","score","56 - 42","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, dunk made"
"86","yes","media/source/3Q.mov","770","12:50","765","12:45","777","12:57","0","Q3","03:55","365","06:05","score","58 - 42","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made"
"87","yes","media/source/3Q.mov","803","13:23","798","13:18","810","13:30","0","Q3","03:22","398","06:38","score","58 - 44","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, jump shot made"
"88","yes","media/source/3Q.mov","830","13:50","825","13:45","837","13:57","0","Q3","02:55","425","07:05","defensive_rebound","58 - 44","7 Kisang Yu defensive rebound"
"89","yes","media/source/3Q.mov","838","13:58","833","13:53","845","14:05","0","Q3","02:47","433","07:13","score","61 - 44","7 Kisang Yu | +3 | 3pt jump shot from center made"
"90","yes","media/source/3Q.mov","855","14:15","850","14:10","862","14:22","1","Q3","02:29","451","07:31","score","63 - 44","36 Daniel Edi | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made"
