quarter,clock_remaining,quarter_elapsed_sec,quarter_elapsed,categories,score,description
"Q1","09:44","16","00:16","score","2 - 0","22 Jun Seok Yeo | +2 | 2pt jump shot made"
"Q1","09:15","45","00:45","score","4 - 0","2 Junyong Choi | +2 | 2pt turnaround jump shot made"
"Q1","08:51","69","01:09","score","4 - 1","34 Brandon Gilbeck | +1 | 1st of 2 free throws made"
"Q1","08:49","71","01:11","defensive_rebound","4 - 1","22 Jun Seok Yeo defensive rebound"
"Q1","08:33","87","01:27","defensive_rebound","4 - 1","34 Brandon Gilbeck defensive rebound"
"Q1","08:20","100","01:40","defensive_rebound","4 - 1","31 Jaeseok Jang defensive rebound"
"Q1","08:10","110","01:50","defensive_rebound","4 - 1","34 Brandon Gilbeck defensive rebound"
"Q1","07:51","129","02:09","score","4 - 4","10 Long-Mao Hu | +3 | 3pt jump shot made"
"Q1","07:35","145","02:25","defensive_rebound","4 - 4","9 Ying-Chun Chen defensive rebound"
"Q1","07:29","151","02:31","defensive_rebound","4 - 4","31 Jaeseok Jang defensive rebound"
"Q1","07:14","166","02:46","score","5 - 4","31 Jaeseok Jang | +1 | 2nd of 2 free throws made"
"Q1","06:47","193","03:13","score","5 - 6","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, jump shot made"
"Q1","06:28","212","03:32","defensive_rebound","5 - 6","34 Brandon Gilbeck defensive rebound"
"Q1","06:08","232","03:52","score","5 - 9","9 Ying-Chun Chen | +3 | 3pt jump shot made"
"Q1","05:45","255","04:15","score","7 - 9","22 Jun Seok Yeo | +2 | 2pt fadeaway jump shot made"
"Q1","05:06","294","04:54","score","10 - 9","6 Junghyun Lee | +3 | 3pt jump shot made"
"Q1","04:37","323","05:23","defensive_rebound","10 - 9","team defensive rebound"
"Q1","04:28","332","05:32","score","12 - 9","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, driving layup made"
"Q1","03:53","367","06:07","defensive_rebound","12 - 9","11 Woosuk Lee defensive rebound"
"Q1","03:35","385","06:25","defensive_rebound","12 - 9","39 Chun Hsiang Lu defensive rebound"
"Q1","03:20","400","06:40","score","12 - 11","0 Benson Lin | +2 | 2pt pullup jump shot made"
"Q1","03:02","418","06:58","score","15 - 11","2 Junyong Choi | +3 | 3pt jump shot made"
"Q1","02:33","447","07:27","score","15 - 12","34 Brandon Gilbeck | +1 | 2nd of 2 free throws made"
"Q1","02:20","460","07:40","score","17 - 12","11 Woosuk Lee | +1 | 2nd of 2 free throws made"
"Q1","02:20","460","07:40","score","16 - 12","11 Woosuk Lee | +1 | 1st of 2 free throws made"
"Q1","02:01","479","07:59","score","17 - 15","2 Riven Ma | +3 | 3pt pullup jump shot made"
"Q1","01:42","498","08:18","score","19 - 15","31 Jaeseok Jang | +2 | 2pt floating jump shot made"
"Q1","01:13","527","08:47","defensive_rebound","19 - 15","12 Jeonghyeon Moon defensive rebound"
"Q1","00:47","553","09:13","score","22 - 15","7 Kisang Yu | +3 | 3pt jump shot made"
"Q1","00:32","568","09:28","score","22 - 17","0 Benson Lin | +2 | 2PtsFG under the basket, driving layup made"
"Q1","00:06","594","09:54","score","25 - 17","5 Junhyeong Byeon | +3 | 3pt jump shot from center made"
"Q2","09:45","15","00:15","score","27 - 17","31 Jaeseok Jang | +2 | 2PtsFG under the basket, hook shot made"
"Q2","09:17","43","00:43","defensive_rebound","27 - 17","31 Jaeseok Jang defensive rebound"
"Q2","09:08","52","00:52","foul_possession_convert","27 - 17","12 Jeonghyeon Moon Offensive foul"
"Q2","08:49","71","01:11","score","30 - 17","11 Woosuk Lee | +3 | 3pt jump shot made"
"Q2","08:23","97","01:37","score","30 - 19","9 Ying-Chun Chen | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made"
"Q2","08:05","115","01:55","defensive_rebound","30 - 19","1 Bachir Gadiaga defensive rebound"
"Q2","07:43","137","02:17","defensive_rebound","30 - 19","team defensive rebound"
"Q2","07:16","164","02:44","defensive_rebound","30 - 19","39 Chun Hsiang Lu defensive rebound"
"Q2","06:56","184","03:04","defensive_rebound","30 - 19","11 Woosuk Lee defensive rebound"
"Q2","06:48","192","03:12","score","32 - 19","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made"
"Q2","05:55","245","04:05","defensive_rebound","32 - 19","62 Kuan-Chuan Chen defensive rebound"
"Q2","05:38","262","04:22","foul_possession_convert","32 - 19","62 Kuan-Chuan Chen Offensive foul"
"Q2","05:15","285","04:45","score","32 - 21","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, fast break, driving layup made"
"Q2","05:15","285","04:45","defensive_rebound","32 - 19","1 Bachir Gadiaga defensive rebound"
"Q2","05:03","297","04:57","score","32 - 23","0 Benson Lin | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made"
"Q2","04:50","310","05:10","defensive_rebound","32 - 23","9 Ying-Chun Chen defensive rebound"
"Q2","04:33","327","05:27","score","32 - 25","9 Ying-Chun Chen | +1 | 2nd of 2 free throws made"
"Q2","04:33","327","05:27","score","32 - 24","9 Ying-Chun Chen | +1 | 1st of 2 free throws made"
"Q2","04:07","353","05:53","score","34 - 25","2 Junyong Choi | +2 | 2pt jump shot made"
"Q2","03:59","361","06:01","defensive_rebound","34 - 26","22 Jun Seok Yeo defensive rebound"
"Q2","03:59","361","06:01","score","34 - 26","9 Ying-Chun Chen | +1 | 1st of 2 free throws made"
"Q2","03:44","376","06:16","score","36 - 26","6 Junghyun Lee | +2 | 2PtsFG under the basket, jump shot made"
"Q2","03:22","398","06:38","defensive_rebound","36 - 26","22 Jun Seok Yeo defensive rebound"
"Q2","02:54","426","07:06","score","37 - 26","6 Junghyun Lee | +1 | 2nd of 2 free throws made"
"Q2","02:13","467","07:47","defensive_rebound","37 - 26","11 Woosuk Lee defensive rebound"
"Q2","01:42","498","08:18","score","39 - 26","11 Woosuk Lee | +2 | 2PtsFG inside right, jump shot made"
"Q2","01:24","516","08:36","score","39 - 28","0 Benson Lin | +2 | 2pt jump shot made"
"Q2","01:10","530","08:50","defensive_rebound","39 - 28","34 Brandon Gilbeck defensive rebound"
"Q2","00:53","547","09:07","defensive_rebound","39 - 28","22 Jun Seok Yeo defensive rebound"
"Q2","00:32","568","09:28","defensive_rebound","39 - 28","39 Chun Hsiang Lu defensive rebound"
"Q2","00:11","589","09:49","score","39 - 30","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"Q2","00:00","600","10:00","score","41 - 30","31 Jaeseok Jang | +2 | 2PtsFG under the basket made"
"Q3","09:48","12","00:12","defensive_rebound","41 - 30","31 Jaeseok Jang defensive rebound"
"Q3","09:18","42","00:42","defensive_rebound","41 - 30","0 Benson Lin defensive rebound"
"Q3","09:10","50","00:50","defensive_rebound","41 - 30","31 Jaeseok Jang defensive rebound"
"Q3","09:03","57","00:57","score","43 - 30","6 Junghyun Lee | +2 | 2PtsFG under the basket, driving layup made"
"Q3","08:39","81","01:21","score","43 - 32","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"Q3","08:34","86","01:26","score","45 - 32","31 Jaeseok Jang | +2 | 2PtsFG under the basket, fast break, layup made"
"Q3","08:07","113","01:53","score","47 - 32","33 Seounghyun Lee | +2 | 2PtsFG inside right, points after turnover, jump shot made"
