event_id,matched,source_video,video_sec,video_time,clip_start_sec,clip_start,clip_end_sec,clip_end,quarter,clock_remaining,categories,duration_sec,start_type,end_type,start_description,end_description
"1","yes","media/source/2Q.mov","7","00:07","7","00:07","34","00:34","Q2","09:55/09:55_to_09:45","q2_cutpoint_segment","27","foul","score","5 Junhyeong Byeon foul drawn / 0 Benson Lin Personal foul","31 Jaeseok Jang | +2 | 2PtsFG under the basket, hook shot made"
"2","yes","media/source/2Q.mov","34","00:34","34","00:34","62","01:02","Q2","09:45_to_09:17","q2_cutpoint_segment","28","score","defensive_rebound","31 Jaeseok Jang | +2 | 2PtsFG under the basket, hook shot made","31 Jaeseok Jang defensive rebound"
"3","yes","media/source/2Q.mov","62","01:02","62","01:02","74","01:14","Q2","09:17_to_09:08/09:08/09:08","q2_cutpoint_segment","12","defensive_rebound","foul;turnover;foul","31 Jaeseok Jang defensive rebound","39 Chun Hsiang Lu foul drawn / 12 Jeonghyeon Moon turnover / 12 Jeonghyeon Moon Offensive foul"
"4","yes","media/source/2Q.mov","74","01:14","74","01:14","100","01:40","Q2","09:08/09:08/09:08_to_08:59","q2_cutpoint_segment","26","foul;turnover;foul","turnover","39 Chun Hsiang Lu foul drawn / 12 Jeonghyeon Moon turnover / 12 Jeonghyeon Moon Offensive foul","0 Benson Lin turnover; bad pass"
"5","yes","media/source/2Q.mov","100","01:40","100","01:40","122","02:02","Q2","08:59_to_08:49","q2_cutpoint_segment","22","turnover","score","0 Benson Lin turnover; bad pass","11 Woosuk Lee | +3 | 3pt jump shot made"
"6","yes","media/source/2Q.mov","122","02:02","122","02:02","138","02:18","Q2","08:49_to_08:32","q2_cutpoint_segment","16","score","turnover","11 Woosuk Lee | +3 | 3pt jump shot made","0 Benson Lin turnover; bad pass"
"7","yes","media/source/2Q.mov","138","02:18","138","02:18","167","02:47","Q2","08:32_to_08:27","q2_cutpoint_segment","29","turnover","turnover","0 Benson Lin turnover; bad pass","5 Junhyeong Byeon turnover; ball handling"
"8","yes","media/source/2Q.mov","167","02:47","167","02:47","170","02:50","Q2","08:27_to_08:23","q2_cutpoint_segment","3","turnover","score","5 Junhyeong Byeon turnover; ball handling","9 Ying-Chun Chen | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made"
"9","yes","media/source/2Q.mov","170","02:50","170","02:50","294","04:54","Q2","08:23_to_08:05","q2_cutpoint_segment","124","score","defensive_rebound","9 Ying-Chun Chen | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made","1 Bachir Gadiaga defensive rebound"
"10","yes","media/source/2Q.mov","294","04:54","294","04:54","317","05:17","Q2","08:05_to_07:43/07:43/07:43","q2_cutpoint_segment","23","defensive_rebound","foul;defensive_rebound","1 Bachir Gadiaga defensive rebound","22 Jun Seok Yeo foul drawn / 1 Bachir Gadiaga Personal foul / team defensive rebound"
