event_id,matched,source_video,video_sec,video_time,clip_start_sec,clip_start,clip_end_sec,clip_end,quarter,clock_remaining,categories,duration_sec,start_type,end_type,start_description,end_description
"1","yes","영상자료/1Q.mov","2","00:02","2","00:02","27","00:27","Q1","08:51/08:51/08:51_to_08:49","q1_cutpoint_segment","25","score;foul;foul","defensive_rebound","34 Brandon Gilbeck | +1 | 1st of 2 free throws made / 34 Brandon Gilbeck foul drawn / 31 Jaeseok Jang Personal foul; 2 free throws awarded","22 Jun Seok Yeo defensive rebound"
"2","yes","영상자료/1Q.mov","27","00:27","27","00:27","43","00:43","Q1","08:49_to_08:33","q1_cutpoint_segment","16","defensive_rebound","defensive_rebound","22 Jun Seok Yeo defensive rebound","34 Brandon Gilbeck defensive rebound"
"3","yes","영상자료/1Q.mov","43","00:43","43","00:43","56","00:56","Q1","08:33_to_08:20","q1_cutpoint_segment","13","defensive_rebound","defensive_rebound","34 Brandon Gilbeck defensive rebound","31 Jaeseok Jang defensive rebound"
"4","yes","영상자료/1Q.mov","56","00:56","56","00:56","66","01:06","Q1","08:20_to_08:10","q1_cutpoint_segment","10","defensive_rebound","defensive_rebound","31 Jaeseok Jang defensive rebound","34 Brandon Gilbeck defensive rebound"
"5","yes","영상자료/1Q.mov","66","01:06","66","01:06","109","01:49","Q1","08:10_to_07:51","q1_cutpoint_segment","43","defensive_rebound","score","34 Brandon Gilbeck defensive rebound","10 Long-Mao Hu | +3 | 3pt jump shot made"
"6","yes","영상자료/1Q.mov","109","01:49","109","01:49","125","02:05","Q1","07:51_to_07:35","q1_cutpoint_segment","16","score","defensive_rebound","10 Long-Mao Hu | +3 | 3pt jump shot made","9 Ying-Chun Chen defensive rebound"
"7","yes","영상자료/1Q.mov","125","02:05","125","02:05","131","02:11","Q1","07:35_to_07:29","q1_cutpoint_segment","6","defensive_rebound","defensive_rebound","9 Ying-Chun Chen defensive rebound","31 Jaeseok Jang defensive rebound"
"8","yes","영상자료/1Q.mov","131","02:11","131","02:11","146","02:26","Q1","07:29_to_07:14/07:14/07:14","q1_cutpoint_segment","15","defensive_rebound","score;foul;foul","31 Jaeseok Jang defensive rebound","31 Jaeseok Jang | +1 | 2nd of 2 free throws made / 31 Jaeseok Jang foul drawn / 1 Bachir Gadiaga Personal foul; 2 free throws awarded"
"9","yes","영상자료/1Q.mov","146","02:26","146","02:26","233","03:53","Q1","07:14/07:14/07:14_to_06:47","q1_cutpoint_segment","87","score;foul;foul","score","31 Jaeseok Jang | +1 | 2nd of 2 free throws made / 31 Jaeseok Jang foul drawn / 1 Bachir Gadiaga Personal foul; 2 free throws awarded","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, jump shot made"
"10","yes","영상자료/1Q.mov","233","03:53","233","03:53","252","04:12","Q1","06:47_to_06:28","q1_cutpoint_segment","19","score","defensive_rebound","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, jump shot made","34 Brandon Gilbeck defensive rebound"
